state,district,average_annual_rainfall,average_temperature,average_humidity
MADHYA PRADESH,PANNA,1171.7,20.77,40.725
MADHYA PRADESH,REWA,1068.5,20.77,40.725
MADHYA PRADESH,SAGAR,1192.2,20.77,40.725
MADHYA PRADESH,SATNA,1056.1,20.77,40.725
MADHYA PRADESH,SEONI,1191.8,20.77,40.725
MADHYA PRADESH,SHAHDOL,1109.9,20.77,40.725
MADHYA PRADESH,SIDHI,1127.0,20.77,40.725
MADHYA PRADESH,TIKAMGARH,938.5,20.77,40.725
MADHYA PRADESH,KATNI,1141.1,20.77,40.725
MADHYA PRADESH,DINDORI,1336.7,20.77,40.725
MADHYA PRADESH,UMARIA,1235.7,20.77,40.725
MADHYA PRADESH,DAMOH,1180.6,20.77,40.725
MADHYA PRADESH,ANUPPUR,1354.5,20.77,40.725
MADHYA PRADESH,SINGRAULI,921.2,20.77,40.725
GUJARAT,AHMEDABAD,639.9,21.4,40.0
GUJARAT,BANASKANTHA,598.4,15.5,36.0
GUJARAT,VADODARA,992.2,22.2425,38.825
GUJARAT,BHARUCH,824.9,20.2,35.0
GUJARAT,VALSAD,2021.7,22.2425,38.825
GUJARAT,DANG,2063.0,22.2425,38.825
GUJARAT,KHEDA,850.1,22.2425,38.825
GUJARAT,MEHSANA,692.7,22.2425,38.825
GUJARAT,PANCHMAHALS,959.3,22.2425,38.825
GUJARAT,SABARKANTHA,816.3,22.2425,38.825
GUJARAT,SURAT,1304.7,22.2425,38.825
GUJARAT,GANDHINAGAR,752.7,22.2425,38.825
GUJARAT,NARMADA,1143.7,22.2425,38.825
GUJARAT,NAVSARI,1866.4,22.2425,38.825
GUJARAT,ANAND,834.6,22.2425,38.825
GUJARAT,PATAN,539.6,22.2425,38.825
GUJARAT,DAHOD,903.6,22.2425,38.825
GUJARAT,TAPI,1536.0,22.2425,38.825
GUJARAT,AMRELI,567.3,18.8,37.0
GUJARAT,BHAVNAGAR,578.3,20.2,43.0
GUJARAT,JAMNAGAR,498.0,22.2425,38.825
GUJARAT,JUNAGADH,830.4,22.2425,38.825
GUJARAT,KUTCH,388.8,22.2425,38.825
GUJARAT,RAJKOT,579.1,22.2425,38.825
GUJARAT,SURENDRANAGAR,534.6,22.2425,38.825
GUJARAT,PORBANDAR,716.6,22.2425,38.825
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,2374.1,19.37040157404953,51.673764245958125
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,2374.1,19.37040157404953,51.673764245958125
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,697.3,19.37040157404953,51.673764245958125
MAHARASHTRA,MUMBAI CITY,2257.5,22.9575,37.95
MAHARASHTRA,RAIGAD,3278.9,22.9575,37.95
MAHARASHTRA,RATNAGIRI,3470.6,22.9575,37.95
MAHARASHTRA,THANE,2542.1,22.9575,37.95
MAHARASHTRA,SINDHUDURG,3269.2,22.9575,37.95
MAHARASHTRA,MUMBAI SUBURBAN,2257.5,22.9575,37.95
GOA,NORTH GOA,3471.4,24.6,66.0
GOA,SOUTH GOA,3085.6,24.6,66.0
MAHARASHTRA,AHMEDNAGAR,573.2,22.8,27.0
MAHARASHTRA,DHULE,607.2,22.8,36.0
MAHARASHTRA,JALGAON,730.9,22.9575,37.95
MAHARASHTRA,KOLHAPUR,1992.8,22.9575,37.95
MAHARASHTRA,NASHIK,1029.6,22.9575,37.95
MAHARASHTRA,PUNE,1015.7,22.9575,37.95
MAHARASHTRA,SANGLI,730.6,22.9575,37.95
MAHARASHTRA,SATARA,912.5,22.9575,37.95
MAHARASHTRA,SOLAPUR,646.5,22.9575,37.95
MAHARASHTRA,NANDURBAR,890.7,22.9575,37.95
MAHARASHTRA,AURANGABAD,716.2,21.3,73.0
MAHARASHTRA,BEED,708.4,13.2,44.0
MAHARASHTRA,NANDED,961.1,22.9575,37.95
MAHARASHTRA,OSMANABAD,779.3,22.9575,37.95
MAHARASHTRA,PARBHANI,897.0,22.9575,37.95
MAHARASHTRA,LATUR,910.0,22.9575,37.95
MAHARASHTRA,JALNA,729.7,22.9575,37.95
MAHARASHTRA,HINGOLI,979.4,22.9575,37.95
MAHARASHTRA,AKOLA,815.4,23.1,30.0
MAHARASHTRA,AMRAVATI,897.4,22.8,30.0
MAHARASHTRA,BHANDARA,1292.7,21.7,30.0
MAHARASHTRA,BULDHANA,746.9,27.0,61.0
MAHARASHTRA,CHANDRAPUR,1272.0,22.3,38.0
MAHARASHTRA,NAGPUR,1068.4,22.9575,37.95
MAHARASHTRA,YAVATMAL,982.8,22.9575,37.95
MAHARASHTRA,WARDHA,1027.0,22.9575,37.95
MAHARASHTRA,GADCHIROLI,1449.8,27.0,61.0
MAHARASHTRA,WASHIM,940.9,22.9575,37.95
MAHARASHTRA,GONDIA,1370.7,22.9575,37.95
CHHATTISGARH,BASTAR,1362.6,19.37040157404953,51.673764245958125
CHHATTISGARH,BILASPUR,1229.0,19.37040157404953,51.673764245958125
CHHATTISGARH,DURG,1122.9,19.37040157404953,51.673764245958125
CHHATTISGARH,RAIGARH,1269.9,19.37040157404953,51.673764245958125
CHHATTISGARH,RAIPUR,1164.6,19.37040157404953,51.673764245958125
CHHATTISGARH,SURGUJA,1331.9,19.37040157404953,51.673764245958125
CHHATTISGARH,RAJNANDGAON,1209.3,19.37040157404953,51.673764245958125
CHHATTISGARH,DANTEWADA,1327.9,19.37040157404953,51.673764245958125
CHHATTISGARH,KANKER,1395.2,19.37040157404953,51.673764245958125
CHHATTISGARH,JANJGIR-CHAMPA,1315.8,19.37040157404953,51.673764245958125
CHHATTISGARH,KORBA,1385.5,19.37040157404953,51.673764245958125
CHHATTISGARH,JASHPUR,1544.4,19.37040157404953,51.673764245958125
CHHATTISGARH,DHAMTARI,1168.6,19.37040157404953,51.673764245958125
CHHATTISGARH,MAHASAMUND,1141.3,19.37040157404953,51.673764245958125
CHHATTISGARH,KORIYA,1223.4,19.37040157404953,51.673764245958125
CHHATTISGARH,KABIRDHAM,1029.3,19.37040157404953,51.673764245958125
CHHATTISGARH,NARAYANPUR,1404.5,19.37040157404953,51.673764245958125
CHHATTISGARH,BIJAPUR,1528.2,19.37040157404953,51.673764245958125
ANDHRA PRADESH,EAST GODAVARI,1106.0,19.4,86.0
ANDHRA PRADESH,WEST GODAVARI,1160.4,23.0075,65.725
ANDHRA PRADESH,GUNTUR,871.5,22.3,88.0
ANDHRA PRADESH,KRISHNA,1027.1,22.3,88.0
ANDHRA PRADESH,NELLORE,1091.6,23.0075,65.725
ANDHRA PRADESH,PRAKASAM,805.9,27.0,61.0
ANDHRA PRADESH,SRIKAKULAM,1165.2,20.8,78.0
ANDHRA PRADESH,VISAKHAPATNAM,1120.7,23.3,67.0
ANDHRA PRADESH,VIZIANAGARAM,1140.4,19.9,77.0
ANDHRA PRADESH,ADILABAD,1120.0,23.0075,65.725
ANDHRA PRADESH,HYDERABAD,851.3,23.0075,65.725
ANDHRA PRADESH,KARIMNAGAR,979.8,23.0075,65.725
ANDHRA PRADESH,KHAMMAM,1094.9,23.0075,65.725
ANDHRA PRADESH,MAHABUBNAGAR,731.1,23.0075,65.725
ANDHRA PRADESH,MEDAK,922.3,23.0075,65.725
ANDHRA PRADESH,NALGONDA,760.5,23.0075,65.725
ANDHRA PRADESH,NIZAMABAD,1091.9,23.0075,65.725
ANDHRA PRADESH,WARANGAL,986.9,23.0075,65.725
ANDHRA PRADESH,RANGAREDDY,841.8,23.0075,65.725
ANDHRA PRADESH,ANANTAPUR,572.7,22.1,64.0
ANDHRA PRADESH,CHITTOOR,898.2,18.5,93.0
ANDHRA PRADESH,YSR KADAPA,716.9,23.0075,65.725
ANDHRA PRADESH,KURNOOL,679.6,21.8,66.0
TAMIL NADU,VELLORE,936.2,23.9275,72.8
TAMIL NADU,COIMBATORE,689.3,24.4,69.0
TAMIL NADU,DHARMAPURI,902.1,18.7,83.0
TAMIL NADU,KANYAKUMARI,1302.5,23.9275,72.8
TAMIL NADU,CHENNAI,1324.2,25.2,79.0
TAMIL NADU,MADURAI,927.9,23.9275,72.8
TAMIL NADU,NILGIRIS,1522.7,23.9275,72.8
TAMIL NADU,RAMANATHAPURAM,807.8,23.9275,72.8
TAMIL NADU,SALEM,997.9,23.9275,72.8
TAMIL NADU,THANJAVUR,1013.1,23.9275,72.8
TAMIL NADU,TIRUCHIRAPPALLI,818.0,23.9275,72.8
TAMIL NADU,TIRUNELVELI,845.1,23.9275,72.8
TAMIL NADU,ERODE,702.9,22.4,75.0
TAMIL NADU,PUDUKKOTTAI,887.4,23.9275,72.8
TAMIL NADU,DINDIGUL,930.7,24.2,89.0
TAMIL NADU,VIRUDHUNAGAR,820.1,23.9275,72.8
TAMIL NADU,SIVAGANGA,872.8,23.9275,72.8
TAMIL NADU,THOOTHUKUDI,656.3,23.9275,72.8
TAMIL NADU,TIRUVANNAMALAI,1040.0,23.9275,72.8
TAMIL NADU,NAGAPATTINAM,1393.3,23.9275,72.8
TAMIL NADU,VILUPPURAM,1011.6,23.9275,72.8
TAMIL NADU,CUDDALORE,1206.7,24.3,74.0
TAMIL NADU,KANCHIPURAM,1227.7,25.2,79.0
TAMIL NADU,TIRUVALLUR,1139.6,23.9275,72.8
TAMIL NADU,THENI,720.0,23.9275,72.8
TAMIL NADU,NAMAKKAL,793.4,23.9275,72.8
TAMIL NADU,KARUR,655.0,23.9275,72.8
TAMIL NADU,PERAMBALUR,861.9,23.9275,72.8
TAMIL NADU,TIRUVARUR,1173.3,23.9275,72.8
TAMIL NADU,KRISHNAGIRI,850.7,23.9275,72.8
TAMIL NADU,ARIYALUR,1071.8,24.3,89.0
TAMIL NADU,TIRUPUR,618.2,23.9275,72.8
PUDUCHERRY,PUDUCHERRY,1336.5,19.37040157404953,51.673764245958125
PUDUCHERRY,KARAIKAL,1504.4,19.37040157404953,51.673764245958125
PUDUCHERRY,MAHE,1336.5,19.37040157404953,51.673764245958125
PUDUCHERRY,YANAM,1336.5,19.37040157404953,51.673764245958125
KARNATAKA,UTTAR KANNADA,3070.5,23.380000000000003,48.875
KARNATAKA,DAKSHINA KANNADA,3915.8,23.380000000000003,48.875
KARNATAKA,UDUPI,4306.0,23.380000000000003,48.875
KARNATAKA,BELAGAVI,839.2,23.380000000000003,48.875
KARNATAKA,BIDAR,890.7,21.1,48.0
KARNATAKA,VIJAYAPURA,656.4,23.380000000000003,48.875
KARNATAKA,DHARWAD,791.7,23.380000000000003,48.875
KARNATAKA,KALABURAGI,820.6,23.380000000000003,48.875
KARNATAKA,YADGIR,834.5,23.380000000000003,48.875
KARNATAKA,RAICHUR,665.1,23.380000000000003,48.875
KARNATAKA,BAGALKOTE,597.0,23.380000000000003,48.875
KARNATAKA,GADAG,641.2,23.380000000000003,48.875
KARNATAKA,HAVERI,791.9,23.380000000000003,48.875
KARNATAKA,KOPPAL,598.3,23.380000000000003,48.875
KARNATAKA,BANGALORE RURAL,837.0,23.380000000000003,48.875
KARNATAKA,BALLARI,622.8,23.380000000000003,48.875
KARNATAKA,CHIKKAMAGALURU,2077.5,23.380000000000003,48.875
KARNATAKA,CHITRADURGA,527.7,22.3,47.0
KARNATAKA,KODAGU,2741.4,23.380000000000003,48.875
KARNATAKA,HASSAN,967.1,23.380000000000003,48.875
KARNATAKA,KOLAR,731.1,23.380000000000003,48.875
KARNATAKA,MANDYA,662.7,23.380000000000003,48.875
KARNATAKA,MYSURU,758.6,23.380000000000003,48.875
KARNATAKA,SHIVAMOGGA,1827.9,23.380000000000003,48.875
KARNATAKA,TUMKUR,698.5,23.380000000000003,48.875
KARNATAKA,BANGALORE URBAN,870.0,23.380000000000003,48.875
KARNATAKA,CHAMARAJANAGAR,788.4,23.380000000000003,48.875
KARNATAKA,DAVANGERE,676.7,23.380000000000003,48.875
KARNATAKA,RAMANAGARA,883.7,23.380000000000003,48.875
KARNATAKA,CHIKKABALLAPUR,748.5,23.380000000000003,48.875
KERALA,ALAPPUZHA,2841.2,26.3,75.0
KERALA,KANNUR,3319.1,25.47,72.775
KERALA,ERNAKULAM,3029.9,27.3,66.0
KERALA,KOTTAYAM,2930.5,23.2,89.0
KERALA,KOZHIKODE,3384.1,26.2,79.0
KERALA,MALAPPURAM,2835.1,26.2,79.0
KERALA,PALAKKAD,2290.0,24.1,69.0
KERALA,KOLLAM,2491.7,26.4,70.0
KERALA,THRISSUR,3063.1,25.47,72.775
KERALA,THIRUVANANTHAPURAM,1803.2,25.47,72.775
KERALA,IDUKKI,3302.5,19.7,92.0
KERALA,KASARGOD,3621.6,25.47,72.775
KERALA,PATHANAMTHITTA,2958.4,25.47,72.775
KERALA,WAYANAD,3253.1,25.47,72.775
LAKSHADWEEP,LAKSHADWEEP,1600.0,25.807142857142857,70.32142857142857
